id,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_intake_ml
507,Limoncello (1.5 oz shot),Beverage,150,0.0,18.0,0.0,0.0,18.0,0,0,Snack,0
508,Panna Cotta (1 serving),Dessert,300,4.0,25.0,20.0,0.0,22.0,50,70,Snack,0
509,Berry Coulis (1 tbsp),Condiment,20,0.0,5.0,0.0,0.5,4.5,0,0,Snack,0
510,Saltimbocca (1 serving),Meal/Meat,380,38.0,5.0,22.0,0.5,1.0,850,120,Dinner,0
511,Prosciutto (1 slice wrapper),Protein/Meat,35,4.0,0.0,2.5,0.0,0.0,280,10,Dinner,0
512,Sage (2 leaves),Condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,Dinner,0
513,Polenta (grilled 1 slice),Meal/Grain,120,2.5,25.0,1.0,2.0,0.5,300,0,Dinner,0
514,Caponata (1/2 cup),Meal/Vegetable,180,2.0,15.0,14.0,5.0,9.0,400,0,Dinner,0
515,Eggplant (1/2 cup in caponata),Vegetable,40,0.5,6.0,2.0,2.0,3.0,150,0,Dinner,0
516,Pine Nuts (1/2 tbsp),Nut,48,1.0,1.0,5.0,0.2,0.2,0,0,Dinner,0
517,Raisins (1 tbsp),Fruit,27,0.3,7.0,0.0,0.3,6.0,1,0,Dinner,0
518,Gelato (Pistachio 1/2 cup),Dessert,220,5.0,24.0,12.0,2.0,20.0,60,40,Snack,0
519,Waffle Cone (1 small),Grain,70,1.0,13.0,1.5,0.5,7.0,30,5,Snack,0
520,Cacio e Pepe (1.5 cups),Meal/Pasta,500,18.0,65.0,19.0,4.0,3.0,700,50,Dinner,0
521,Pecorino Romano (1/4 cup),Dairy,110,7.5,1.0,8.5,0.0,0.0,450,25,Dinner,0
522,Black Pepper (1/2 tsp),Condiment,3,0.1,0.7,0.0,0.3,0.0,0,0,Dinner,0
523,Fiorentina Steak (3oz portion),Protein/Meat,230,24.0,0.0,15.0,0.0,0.0,60,75,Dinner,0
524,Olive Oil (1 tbsp drizzle),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Dinner,0
525,Rosemary (garnish),Condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,Dinner,0
526,White Beans (Tuscan style 1/2 cup),Legume,150,8.0,20.0,4.0,7.0,2.0,350,0,Dinner,0
527,Garlic (1 clove in beans),Vegetable,4,0.2,0.9,0.0,0.1,0.0,1,0,Dinner,0
528,Sage (in beans),Condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,Dinner,0
529,Arancini (1 large ball),Snack/Processed,250,9.0,30.0,10.0,3.0,3.0,500,30,Snack,0
530,Ragù (filling 1 tbsp),Condiment,25,1.5,1.0,1.5,0.5,0.5,60,5,Snack,0
531,Mozzarella (filling 0.5 oz),Dairy,40,3.0,0.5,3.0,0.0,0.2,75,10,Snack,0
532,Breadcrumbs (coating),Grain,25,0.5,4.0,0.5,0.5,0.5,50,0,Snack,0
533,Campari & Soda (1 drink),Beverage,85,0.0,10.0,0.0,0.0,10.0,25,0,Snack,150
534,Olive (garnish),Fruit,5,0.0,0.1,0.5,0.1,0.0,30,0,Snack,0
535,Vitello Tonnato (1 serving),Meal/Meat,380,35.0,3.0,25.0,0.5,1.0,600,110,Lunch,0
536,Tuna Sauce (2 tbsp),Condiment,100,4.0,1.0,9.0,0.0,0.5,200,15,Lunch,0
537,Capers (garnish),Condiment,2,0.2,0.4,0.1,0.3,0.1,200,0,Lunch,0
538,Lemon Slice (garnish),Condiment,1,0.0,0.3,0.0,0.1,0.1,0,0,Lunch,0
539,Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,450,15.0,60.0,18.0,6.0,9.0,800,40,Dinner,0
540,Tomato Sauce (1/2 cup),Condiment,40,1.5,7.0,1.0,2.0,4.0,350,0,Dinner,0
541,Mozzarella (1 oz melted),Dairy,80,6.0,1.0,6.0,0.0,0.5,150,20,Dinner,0
542,Basil (fresh garnish),Condiment,1,0.1,0.0,0.0,0.1,0.0,0,0,Dinner,0
543,Pesto (1/4 cup),Condiment,290,5.0,4.0,29.0,2.0,1.0,600,5,Dinner,0
544,Pine Nuts (1 tbsp in pesto),Nut,95,2.0,2.0,10.0,0.5,0.5,0,0,Dinner,0
545,Garlic (1/2 clove in pesto),Vegetable,2,0.1,0.5,0.0,0.0,0.0,0,0,Dinner,0
546,Trofie Pasta (1 cup cooked),Grain,210,7.0,43.0,1.0,2.0,1.0,5,0,Dinner,0
547,Green Beans (1/2 cup w/ pasta),Vegetable,15,0.9,3.5,0.1,1.3,1.6,3,0,Dinner,0
548,Potato (1/2 w/ pasta),Vegetable,65,1.0,15.0,0.1,1.0,0.5,3,0,Dinner,0
549,Espresso Martini (1 drink),Beverage,280,0.5,25.0,0.0,0.0,25.0,5,0,Snack,120
550,Vodka (1.5 oz),Beverage,97,0.0,0.0,0.0,0.0,0.0,0,0,Snack,0
551,Coffee Liqueur (1 oz),Beverage,100,0.0,15.0,0.0,0.0,15.0,2,0,Snack,0
552,Espresso (1 oz in drink),Beverage,3,0.3,0.0,0.1,0.0,0.0,1,0,Snack,0
553,Simple Syrup (1/2 oz),Condiment,30,0.0,8.0,0.0,0.0,8.0,0,0,Snack,0
554,Coffee Beans (3 garnish),Snack,2,0.1,0.3,0.0,0.1,0.0,0,0,Snack,0
555,Baba Ganoush (1/4 cup),Meal/Vegetable,100,2.0,8.0,7.0,4.0,2.0,300,0,Snack,0
556,Pita Bread (1 white),Grain,165,5.5,33.0,1.2,1.5,1.5,310,0,Snack,0
557,Falafel (3 pieces),Meal/Vegetarian,180,6.0,18.0,9.0,4.0,1.0,320,0,Lunch,0
558,Tahini Sauce (1 tbsp),Condiment,30,1.0,1.5,2.5,0.5,0.0,45,0,Lunch,0
559,Pickled Turnips (2 tbsp),Vegetable,10,0.2,2.0,0.0,0.5,1.0,200,0,Lunch,0
560,Shawarma (Chicken 1 wrap),Meal/Processed,550,30.0,50.0,25.0,6.0,5.0,1100,80,Lunch,250
561,Garlic Sauce (1 tbsp),Condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,Lunch,0
562,Hummus (1/4 cup),Legume,130,5.0,10.0,8.0,4.0,1.0,250,0,Lunch,0
563,Tabouli (1/2 cup),Meal/Vegetarian,120,3.0,15.0,6.0,4.0,2.0,300,0,Lunch,0
564,Bulgur (1/4 cup in tabouli),Grain,76,2.7,16.8,0.2,4.1,0.1,4,0,Lunch,0
565,Parsley (1/4 cup in tabouli),Vegetable,5,0.3,1.0,0.1,0.5,0.1,5,0,Lunch,0
566,Mint (1 tbsp in tabouli),Condiment,1,0.1,0.1,0.0,0.1,0.0,0,0,Lunch,0
567,Lemon Juice (1 tbsp dressing),Condiment,4,0.1,1.3,0.0,0.1,0.2,0,0,Lunch,0
568,Olive Oil (1 tbsp dressing),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Lunch,0
569,Kibbeh (1 piece fried),Meal/Meat,230,9.0,20.0,13.0,3.0,1.0,450,30,Snack,0
570,Pine Nuts (1/2 tbsp filling),Nut,48,1.0,1.0,5.0,0.2,0.2,0,0,Snack,0
571,Ground Lamb (1 oz filling),Protein/Meat,80,5.5,0.0,6.0,0.0,0.0,20,20,Snack,0
572,Bulgur (1 tbsp shell),Grain,15,0.5,3.4,0.0,0.8,0.0,1,0,Snack,0
573,Lentil Soup (1 cup Middle Eastern),Meal/Legume,200,10.0,30.0,5.0,10.0,4.0,700,0,Lunch,250
574,Cumin (1 tsp),Condiment,8,0.3,1.5,0.5,0.4,0.1,3,0,Lunch,0
575,Coriander (1 tsp),Condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,Lunch,0
576,Lemon Juice (1 tsp in soup),Condiment,1,0.0,0.4,0.0,0.0,0.1,0,0,Lunch,0
577,Pita Crisps (1 oz),Snack/Processed,130,3.0,18.0,5.0,2.0,1.0,240,0,Lunch,0
578,Manakeesh (Za'atar 1 small),Meal/Vegetarian,300,7.0,45.0,10.0,4.0,2.0,500,0,Breakfast,0
579,Za'atar (1 tbsp),Condiment,40,1.0,3.0,3.0,1.5,0.0,150,0,Breakfast,0
580,Olive Oil (1 tbsp on bread),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Breakfast,0
581,Labneh (2 tbsp),Dairy,60,4.0,2.0,4.0,0.0,2.0,80,15,Breakfast,0
582,Cucumber (1/4 cup side),Vegetable,8,0.3,1.8,0.0,0.2,0.8,1,0,Breakfast,0
583,Tomato (1/4 cup side),Vegetable,8,0.3,1.8,0.1,0.5,1.2,2,0,Breakfast,0
584,Olives (5 side),Fruit,35,0.2,1.0,3.5,0.5,0.0,210,0,Breakfast,0
585,Mint Tea (1 cup),Beverage,2,0.1,0.5,0.0,0.0,0.0,5,0,Breakfast,240
586,Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,150,3.0,20.0,7.0,3.0,3.0,400,0,Snack,0
587,Rice (1/4 cup filling),Grain,51,1.1,11.1,0.1,0.1,0.0,0,0,Snack,0
588,Turkish Coffee (1 small cup),Beverage,5,0.2,0.5,0.0,0.0,0.0,1,0,Snack,60
589,Cardamom (in coffee),Condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,Snack,0
590,Shish Tawook (2 skewers),Meal/Meat,300,35.0,5.0,16.0,1.0,2.0,600,100,Dinner,0
591,Garlic Sauce (Toum 1 tbsp),Condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,Dinner,0
592,French Fries (side),Vegetable/Processed,340,4.0,44.0,17.0,4.0,0.3,230,0,Dinner,0
593,Pickled Cucumber (1/4 cup),Vegetable,10,0.5,2.0,0.0,1.0,1.0,300,0,Dinner,0
594,Fattoush Salad (1.5 cups),Meal/Vegetarian,250,5.0,25.0,15.0,6.0,5.0,500,0,Lunch,0
595,Fried Pita (1/2 pita in salad),Grain,80,2.0,12.0,3.0,1.0,0.5,150,0,Lunch,0
596,Sumac (1/2 tsp dressing),Condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,Lunch,0
597,Pomegranate Molasses (1 tsp),Condiment,15,0.0,4.0,0.0,0.0,4.0,0,0,Lunch,0
